originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Side Roads,"(6, 7]",2016,17,0.0,2.3978952727983707,0.6931471805599453,0.0,6,short,0.0,False,False,1,['PL'],Short,6.5,0.0
Boxeurs,"(4, 5]",1900,1,0.0,2.6390573296152584,0.6931471805599453,0.0,4,short,0.0,False,False,1,['FR'],"Comedy,Short",4.5,0.0
The New Batman Adventures,"(8, 9]",1997,30,1.9459101490553132,9.89075686005731,6.579251212010101,0.0,438,tvSeries,2.3978952727983707,True,False,31,['US'],"Action,Adventure,Animation",8.5,3.871201010907891
Spring,"(7, 8]",1970,23,0.0,2.4849066497880004,4.543294782270004,0.0,11,tvEpisode,0.0,False,False,1,['GB'],Comedy,7.5,0.0
The Whole Truth,"(6, 7]",2016,93,0.0,10.438371441395189,3.7376696182833684,2.833213344056216,209,movie,0.6931471805599453,False,False,32,['US'],"Crime,Drama,Mystery",6.5,5.3612921657094255
The Man from Thunder River,"(6, 7]",1943,57,0.0,3.4965075614664802,2.4849066497880004,0.0,35,movie,0.0,False,False,3,['US'],"Drama,Western",6.5,0.6931471805599453
Leichenfund im Jagen 14,"(5, 6]",1968,74,0.0,1.9459101490553132,0.0,0.0,43,tvEpisode,0.0,False,False,1,['DDDE'],Crime,5.5,0.0
What Did You Do in the War Daddy?,"(6, 7]",1970,40,0.0,2.995732273553991,1.6094379124341003,0.0,14,tvEpisode,0.0,False,False,1,['GB'],"Drama,History,War",6.5,0.6931471805599453
Stuck in the Middle with You,"(5, 6]",2007,30,0.0,3.1780538303479458,0.6931471805599453,0.0,54,tvEpisode,0.0,False,False,1,['GB'],Comedy,5.5,1.0986122886681098
Patagonia Treasure Trail,"(4, 5]",2016,85,0.0,3.044522437723423,1.3862943611198906,0.0,35,movie,0.0,False,False,2,['US'],Western,4.5,0.0
