originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
Monelle,"(6, 7]",2018,16,2.3978952727983707,1,0,2.0794415416798357,short,False,True,False,0.6931471805599453,10,['IT'],"Animation,Short",6.5,0.0,1.0986122886681098
Tommy... A Family Portrait,"(5, 6]",2001,92,2.772588722239781,2,0,3.6109179126442243,movie,False,True,False,0.6931471805599453,15,['CA'],Documentary,5.5,0.0,0.6931471805599453
Morphine,"(8, 9]",2007,10,3.7376696182833684,1,0,2.9444389791664403,short,False,True,False,0.6931471805599453,41,['US'],"Horror,Short,Thriller",8.5,0.0,0.0
Powerslave,"(7, 8]",1996,28,4.330733340286331,5,0,3.4011973816621555,videoGame,False,True,False,1.3862943611198906,75,['US'],"Action,Adventure,Fantasy",7.5,0.6931471805599453,0.0
War of the Worlds,"(3, 4]",2005,93,7.940583827104244,8,0,5.181783550292085,video,False,True,False,3.5263605246161616,2809,"['US', 'JP']","Horror,Sci-Fi",3.5,4.875197323201151,0.0
The Devil's Window,"(6, 7]",1993,44,5.293304824724492,8,0,4.61512051684126,tvEpisode,False,True,False,0.6931471805599453,200,['US'],"Action,Adventure,Family",6.5,1.6094379124341003,0.0
Timesweep,"(3, 4]",1987,85,5.049856007249537,4,0,4.31748811353631,video,False,True,False,1.6094379124341003,155,['US'],"Fantasy,Horror,Sci-Fi",3.5,2.8903717578961645,0.0
Highpoint,"(4, 5]",1982,88,5.683579767338681,19,0,4.990432586778736,movie,False,True,False,2.772588722239781,293,['CA'],"Action,Comedy,Thriller",4.5,2.6390573296152584,0.0
Fear! Shinjuku Ghost Story!! The Wandering Soul of a Beautiful Woman,"(6, 7]",1991,24,2.4849066497880004,0,0,1.0986122886681098,tvEpisode,False,True,False,0.6931471805599453,11,['JP'],"Action,Animation,Comedy",6.5,0.0,0.0
The Laramie Road,"(7, 8]",1965,75,4.418840607796598,1,0,4.04305126783455,tvEpisode,False,True,False,0.6931471805599453,82,['US'],Western,7.5,1.791759469228055,0.0
Fiskerlivets farer,"(5, 6]",1907,4,2.833213344056216,0,0,1.791759469228055,short,False,True,False,1.0986122886681098,16,['NO'],"Drama,Short",5.5,1.0986122886681098,0.0
Millions,"(6, 7]",1936,70,3.58351893845611,1,0,3.258096538021482,movie,False,True,False,0.6931471805599453,35,['GB'],Comedy,6.5,1.0986122886681098,0.0
"Cupid, Registered Guide","(6, 7]",1921,13,3.2188758248682006,3,0,2.0794415416798357,short,False,True,False,0.6931471805599453,24,['US'],"Drama,Short",6.5,1.0986122886681098,0.0
Smokescreen,"(6, 7]",1964,70,6.269096283706261,5,0,4.060443010546419,movie,False,True,False,1.791759469228055,527,['GB'],"Crime,Drama,Mystery",6.5,3.1780538303479458,0.0
Zu viele Verdächtige,"(5, 6]",1997,86,2.5649493574615367,0,0,3.1780538303479458,tvEpisode,False,True,False,1.0986122886681098,12,['DE'],Crime,5.5,0.0,0.0
Piccolo,"(7, 8]",1959,9,4.812184355372417,2,0,2.6390573296152584,short,False,True,False,1.0986122886681098,123,['XYU'],"Animation,Comedy,Music",7.5,1.3862943611198906,0.6931471805599453
Panic,"(6, 7]",2008,47,4.0943445622221,1,0,5.407171771460119,tvEpisode,False,True,False,0.6931471805599453,59,['US'],Drama,6.5,0.0,0.0
Labirintus,"(6, 7]",1999,10,3.1354942159291497,1,0,2.70805020110221,short,False,True,False,1.0986122886681098,22,['HU'],"Animation,Short",6.5,0.0,0.6931471805599453
Milton Berle/Leslie Uggams/Susan Sarandon/Pat Derby,"(7, 8]",1974,40,2.6390573296152584,0,0,2.0794415416798357,tvEpisode,False,True,False,0.6931471805599453,13,['US'],"Comedy,Talk-Show",7.5,0.0,0.0
Arcturians and Black Triangles,"(7, 8]",2022,42,3.295836866004329,9,0,4.127134385045092,tvEpisode,False,True,False,0.6931471805599453,26,['US'],"Documentary,Sci-Fi",7.5,1.0986122886681098,0.0
Psychedelic Psychopaths,"(3, 4]",2019,81,3.8501476017100584,8,0,4.394449154672439,movie,False,True,False,0.6931471805599453,46,['US'],Horror,3.5,1.0986122886681098,0.0
My Old Kentucky Home,"(5, 6]",1938,72,3.1354942159291497,7,0,3.332204510175204,movie,False,True,False,1.3862943611198906,22,['US'],"Drama,Music,Romance",5.5,0.6931471805599453,0.0
Undskyld vi er her,"(3, 4]",1980,82,3.295836866004329,26,0,3.4657359027997265,movie,False,True,False,0.6931471805599453,26,['DK'],"Comedy,Music",3.5,0.6931471805599453,0.0
It Can Wait: Ashley Tisdale Commercial,"(7, 8]",2009,1,2.1972245773362196,1,0,0.6931471805599453,short,False,True,False,0.6931471805599453,8,['US'],"Family,Short",7.5,0.0,0.0
Tempus Fugit,"(6, 7]",2002,13,2.9444389791664403,0,0,3.332204510175204,short,False,True,False,0.6931471805599453,18,['US'],"Drama,Sci-Fi,Short",6.5,0.0,0.0
Hacksaw Ridge,"(8, 9]",2016,139,13.32450390123025,185,35,6.812345094177479,movie,False,True,False,3.970291913552122,612419,['US'],"Biography,Drama,History",8.5,7.404279118037268,5.153291594497779
The Green-Eyed Monster,"(7, 8]",1996,44,5.8944028342648505,3,0,4.0943445622221,tvEpisode,False,True,False,0.6931471805599453,363,"['US', 'NZ']","Action,Adventure,Drama",7.5,0.6931471805599453,0.0
Io non ho paura,"(7, 8]",2003,108,9.659822365501121,20,0,4.653960350157523,movie,False,True,False,3.4339872044851463,15674,"['IT', 'ES', 'GB']","Crime,Drama,Mystery",7.5,5.231108616854587,3.4965075614664802
The Alchemists,"(5, 6]",1999,150,4.787491742782046,3,0,4.48863636973214,tvMovie,False,True,False,2.1972245773362196,119,['GB'],Thriller,5.5,1.3862943611198906,0.0
De vlieg,"(5, 6]",1985,20,3.332204510175204,26,0,2.833213344056216,short,False,True,False,0.6931471805599453,27,['NL'],"Horror,Short",5.5,0.6931471805599453,0.0
Episode #2.5,"(7, 8]",1979,40,3.1354942159291497,18,0,3.7376696182833684,tvEpisode,False,True,False,2.0794415416798357,22,['GB'],"Comedy,Drama,Family",7.5,0.0,0.0
The Hollowmen,"(8, 9]",2008,27,6.733401891837359,675,0,4.836281906951478,tvSeries,True,True,False,1.6094379124341003,839,['AU'],"Comedy,Drama",8.5,1.9459101490553132,1.6094379124341003
O Amuleto de Ogum,"(6, 7]",1974,112,5.318119993844216,2,0,3.6888794541139363,movie,False,True,False,2.0794415416798357,203,['BR'],Drama,6.5,1.791759469228055,1.6094379124341003
"1966, wo de Hongweibing shidai","(7, 8]",1993,140,2.302585092994046,0,0,1.0986122886681098,movie,False,True,False,1.6094379124341003,9,['CN'],Documentary,7.5,0.0,0.6931471805599453
Classic Stand-Up Comedy of Television,"(4, 5]",1996,90,4.143134726391533,1,0,4.672828834461906,tvSpecial,False,True,False,0.6931471805599453,62,['US'],"Comedy,Documentary",4.5,0.0,0.0
Psyched Out at Fillmore,"(7, 8]",1987,24,3.5263605246161616,1,0,4.110873864173311,tvEpisode,False,True,False,0.6931471805599453,33,['US'],Comedy,7.5,0.0,0.0
Kita no san-nin,"(6, 7]",1945,72,4.02535169073515,2,0,2.9444389791664403,movie,False,True,False,1.3862943611198906,55,['JP'],Drama,6.5,1.791759469228055,0.0
Commitment Issues,"(7, 8]",2020,42,5.472270673671475,3,0,4.584967478670572,tvEpisode,False,True,False,0.6931471805599453,237,['US'],"Action,Crime,Drama",7.5,1.791759469228055,0.0
Tu as crié: Let me go,"(7, 8]",1997,98,4.007333185232471,8,0,3.258096538021482,movie,False,True,False,1.3862943611198906,54,['CA'],Documentary,7.5,1.0986122886681098,1.6094379124341003
"The Burlesque Suicide, No. 2","(4, 5]",1902,1,5.365976015021851,1,0,1.6094379124341003,short,False,True,False,1.0986122886681098,213,['US'],"Comedy,Short",4.5,1.791759469228055,0.0
C.A.N.D.L.E.S.: The Story of the Mengele Twins,"(8, 9]",1990,81,2.4849066497880004,0,0,2.8903717578961645,tvMovie,False,True,False,0.6931471805599453,12,['US'],Documentary,8.5,0.6931471805599453,0.0
Nirmal Pathak Ki Ghar Wapsi,"(8, 9]",2022,40,7.620705086838262,6,1,4.290459441148391,tvSeries,True,True,False,1.791759469228055,2041,['IN'],"Drama,Family",8.5,4.382026634673881,1.3862943611198906
Hauru no ugoku shiro,"(8, 9]",2004,119,13.046205613554598,333,6,5.968707559985366,movie,False,True,False,4.060443010546419,463597,"['JP', 'US']","Adventure,Animation,Family",8.5,6.7661917146603505,3.5553480614894135
Try Not to Remember,"(6, 7]",1995,40,3.1354942159291497,0,0,4.574710978503383,tvEpisode,False,True,False,0.6931471805599453,22,['US'],Comedy,6.5,0.0,0.0
Strumpet,"(6, 7]",2001,72,6.056784013228625,1,0,3.9318256327243257,tvMovie,False,True,False,1.3862943611198906,426,['GB'],"Drama,Music",6.5,2.70805020110221,0.0
One of Those Coach Moments,"(7, 8]",2009,45,4.919980925828125,9,0,4.663439094112067,tvEpisode,False,True,False,0.6931471805599453,136,['US'],"Adventure,Game-Show,Reality-TV",7.5,0.0,0.0
It All Started Here,"(6, 7]",1995,55,2.70805020110221,0,0,3.9512437185814275,tvSpecial,False,True,False,0.6931471805599453,15,['US'],"Comedy,Music",6.5,0.0,0.0
'Twas the Night Before Christmas,"(7, 8]",1974,25,8.252446090246952,28,8,3.5263605246161616,tvMovie,False,True,False,1.6094379124341003,3837,"['US', 'JP']","Animation,Comedy,Family",7.5,3.970291913552122,0.0
Treehouse of Horror VIII,"(8, 9]",1997,30,8.019941687677365,6,0,5.017279836814924,tvEpisode,False,True,False,0.6931471805599453,3047,['US'],"Animation,Comedy",8.5,2.302585092994046,0.0
Valvova silmä,"(8, 9]",2021,40,2.3978952727983707,0,0,2.70805020110221,tvEpisode,False,True,False,0.6931471805599453,10,['FI'],Comedy,8.5,0.0,0.0
The Lady in Red,"(6, 7]",1979,93,7.295735072749282,28,1,4.6443908991413725,movie,False,True,False,2.9444389791664403,1474,['US'],"Action,Crime,Drama",6.5,3.6375861597263857,0.0
Blood of the Dragon: Part 1,"(8, 9]",1974,60,4.7535901911063645,2,0,3.9512437185814275,tvEpisode,False,True,False,0.6931471805599453,115,['US'],"Adventure,Drama,Western",8.5,1.3862943611198906,0.0
Inspecteur Lavardin,"(6, 7]",1986,100,7.403061091090091,37,0,4.290459441148391,movie,False,True,False,2.995732273553991,1640,"['FR', 'CH']","Crime,Drama,Mystery",6.5,3.7376696182833684,0.0
Parade des Sools,"(5, 6]",1935,2,3.1780538303479458,0,0,1.3862943611198906,short,False,True,False,0.6931471805599453,23,['FR'],Short,5.5,0.0,0.0
Too Much of Water,"(7, 8]",2022,40,5.389071729816501,1,0,4.6443908991413725,tvEpisode,False,True,False,0.6931471805599453,221,['GB'],"Comedy,Crime,Drama",7.5,1.0986122886681098,0.0
Let the Great World Spin,"(8, 9]",2022,40,8.353968130313271,4,0,5.62040086571715,tvEpisode,False,True,False,0.6931471805599453,4247,['US'],"Crime,Drama,Thriller",8.5,2.8903717578961645,0.0
Puppet Playhouse,"(7, 8]",1947,53,5.598421958998375,18,0,3.970291913552122,tvSeries,True,True,False,1.791759469228055,269,['US'],Family,7.5,2.833213344056216,1.3862943611198906
Sechs Personen suchen einen Autor,"(8, 9]",1964,90,2.833213344056216,0,0,3.1780538303479458,tvMovie,False,True,False,0.6931471805599453,16,['XWG'],Drama,8.5,0.0,0.0
Nancy & Frank - A Manhattan Love Story,"(3, 4]",2002,94,3.9318256327243257,1,0,4.04305126783455,movie,False,True,False,1.0986122886681098,50,['DE'],"Comedy,Drama",3.5,1.0986122886681098,0.0
R3,"(8, 9]",2012,4,2.6390573296152584,1,0,2.772588722239781,short,False,True,False,0.6931471805599453,13,['US'],"Horror,Sci-Fi,Short",8.5,0.0,0.6931471805599453
Bunbury: Expectativas,"(7, 8]",2017,13,1.9459101490553132,0,0,1.6094379124341003,short,False,True,False,0.6931471805599453,6,['ES'],Short,7.5,0.0,0.0
Punainen kohina,"(4, 5]",2021,91,4.574710978503383,21,2,4.477336814478207,movie,False,True,False,1.3862943611198906,97,['FI'],"Drama,Thriller",4.5,0.0,0.0
Below the Belt,"(1, 2]",2018,53,7.017506142941256,1,0,2.3978952727983707,tvSeries,True,True,False,1.0986122886681098,1115,['US'],Talk-Show,1.5,3.9889840465642745,0.0
Cluedo - Das Mörderspiel,"(7, 8]",1993,53,2.70805020110221,7,0,4.02535169073515,tvSeries,True,True,False,0.6931471805599453,14,['DE'],Mystery,7.5,0.6931471805599453,0.0
Alle man på post,"(4, 5]",1940,75,3.5553480614894135,29,0,3.7612001156935624,movie,False,True,False,1.6094379124341003,34,['SE'],Comedy,4.5,0.0,0.0
Tumba y quema,"(7, 8]",2023,92,1.9459101490553132,2,0,3.9889840465642745,movie,False,True,False,0.6931471805599453,6,['DO'],Documentary,7.5,0.6931471805599453,0.0
Winner Take All,"(4, 5]",1924,60,3.044522437723423,3,0,2.70805020110221,movie,False,True,False,1.0986122886681098,20,['US'],Drama,4.5,0.0,0.0
Toki o kakeru Gokû,"(7, 8]",1988,24,5.910796644040527,9,0,3.295836866004329,tvEpisode,False,True,False,0.6931471805599453,369,['JP'],"Action,Adventure,Animation",7.5,0.0,0.0
Don Quixote,"(6, 7]",1933,73,5.996452088619021,5,0,3.4965075614664802,movie,False,True,False,2.6390573296152584,401,"['GB', 'FR']","Adventure,Comedy,Drama",6.5,2.833213344056216,0.0
Pravo pervoy podpisi,"(5, 6]",1978,93,2.70805020110221,1,0,3.828641396489095,movie,False,True,False,0.6931471805599453,14,['SUHH'],Drama,5.5,0.0,0.0
La Vida Lena,"(6, 7]",2020,30,3.367295829986474,4,1,3.6635616461296463,tvSeries,True,True,False,1.9459101490553132,28,['PH'],"Action,Crime,Drama",6.5,0.0,0.0
Mario Andretti Racing,"(5, 6]",1994,28,2.833213344056216,1,1,0.6931471805599453,videoGame,False,True,False,0.6931471805599453,16,['US'],Sport,5.5,0.0,0.0
Perils of the Jungle,"(7, 8]",1927,200,3.1354942159291497,29,0,2.6390573296152584,movie,False,True,False,1.0986122886681098,22,['US'],"Action,Adventure,Crime",7.5,0.0,0.0
Pantomimes,"(8, 9]",1955,20,2.9444389791664403,0,0,2.5649493574615367,short,False,True,False,1.6094379124341003,18,['FR'],Short,8.5,0.0,0.6931471805599453
Pai de bu cuo,"(6, 7]",2016,94,4.718498871295094,158,0,5.579729825986222,movie,False,True,False,2.0794415416798357,111,"['MO', 'HK']","Comedy,Drama,Horror",6.5,1.0986122886681098,0.0
Diversity Hire,"(8, 9]",2010,21,7.80057265467065,2,0,4.127134385045092,tvEpisode,False,True,False,0.6931471805599453,2443,['US'],"Action,Animation,Comedy",8.5,2.0794415416798357,0.0
Crime Doctor's Man Hunt,"(6, 7]",1946,61,5.863631175598097,3,0,3.828641396489095,movie,False,True,False,2.302585092994046,351,['US'],"Crime,Drama,Thriller",6.5,3.091042453358316,0.0
Never Divorce a Secret Billionaire Heiress,"(7, 8]",2023,70,3.6109179126442243,1,0,3.258096538021482,tvMiniSeries,True,True,False,2.1972245773362196,37,['US'],Drama,7.5,0.0,0.0
"It's You and Me, Senpai~","(7, 8]",2023,40,4.897839799950911,5,0,3.58351893845611,tvEpisode,False,True,False,0.6931471805599453,133,['JP'],"Animation,Comedy,Romance",7.5,0.6931471805599453,0.0
Jie jiao de xiao wang zi,"(5, 6]",2010,92,4.143134726391533,1,0,3.1354942159291497,movie,False,True,False,1.9459101490553132,62,['TW'],Drama,5.5,0.6931471805599453,0.0
Dhoka,"(7, 8]",2017,9,2.0794415416798357,2,0,2.3978952727983707,short,False,True,False,0.6931471805599453,7,['NP'],"Short,Thriller",7.5,0.0,0.0
Vertiges,"(6, 7]",2017,60,3.5263605246161616,19,0,3.8066624897703196,tvEpisode,False,True,False,0.6931471805599453,34,['FR'],"Crime,Thriller",6.5,0.0,0.0
Childhood Daze,"(6, 7]",1960,6,4.3694478524670215,1,0,3.258096538021482,tvEpisode,False,True,False,0.6931471805599453,78,['US'],"Adventure,Animation,Comedy",6.5,1.0986122886681098,0.0
Gokulamlo Seetha,"(5, 6]",1997,140,6.349138991379798,3,0,3.4965075614664802,movie,False,True,False,0.6931471805599453,571,['IN'],"Drama,Romance",5.5,0.0,0.0
Mushroom Pizza,"(5, 6]",2011,19,2.302585092994046,0,0,3.367295829986474,short,False,True,False,0.6931471805599453,9,['US'],"Action,Adventure,Comedy",5.5,0.0,0.0
Hot Pink,"(7, 8]",1984,54,3.1780538303479458,0,0,2.70805020110221,video,False,True,True,1.0986122886681098,23,['US'],Adult,7.5,0.0,0.0
Langfristig untragbar,"(6, 7]",2020,49,2.70805020110221,1,0,4.007333185232471,tvEpisode,False,True,False,0.6931471805599453,14,['DE'],"Comedy,Crime,Drama",6.5,0.0,0.0
Fire,"(7, 8]",1982,25,4.174387269895637,1,0,3.7612001156935624,tvEpisode,False,True,False,0.6931471805599453,64,['US'],"Comedy,Drama,Family",7.5,0.0,0.0
Ten Little Indians,"(6, 7]",1959,60,5.25227342804663,1,0,3.367295829986474,tvMovie,False,True,False,1.791759469228055,190,['US'],"Crime,Mystery,Thriller",6.5,2.0794415416798357,0.0
Hood Life,"(5, 6]",2011,92,2.5649493574615367,1,0,3.784189633918261,movie,False,True,False,1.0986122886681098,12,['US'],"Action,Crime",5.5,0.0,0.0
A Dry White Season,"(6, 7]",1989,106,8.756682421266532,72,0,5.365976015021851,movie,False,True,False,3.367295829986474,6354,['US'],"Drama,Thriller",6.5,4.290459441148391,2.4849066497880004
Ghost of the Golden Groves,"(7, 8]",2019,98,3.58351893845611,7,0,2.8903717578961645,movie,False,True,False,1.0986122886681098,35,['IN'],"Fantasy,Horror,Sci-Fi",7.5,2.5649493574615367,0.6931471805599453
Central City Strong,"(6, 7]",2021,42,7.593877844605118,20,0,5.288267030694535,tvEpisode,False,True,False,0.6931471805599453,1986,['US'],"Action,Adventure,Drama",6.5,3.7376696182833684,0.0
Episode #1.11,"(8, 9]",2013,60,2.3978952727983707,5,0,2.6390573296152584,tvEpisode,False,True,False,2.0794415416798357,10,['KR'],"Drama,Romance",8.5,0.0,0.0
Rakkaus alkaa aamuyöstä,"(5, 6]",1966,101,4.204692619390966,2,0,3.9512437185814275,movie,False,True,False,1.3862943611198906,66,['FI'],Drama,5.5,1.0986122886681098,0.6931471805599453
Soliloquy,"(6, 7]",2002,92,2.5649493574615367,4,0,2.995732273553991,movie,False,True,False,0.6931471805599453,12,['US'],Drama,6.5,0.6931471805599453,0.0
Les truffes,"(4, 5]",1995,85,5.700443573390687,5,0,4.844187086458591,movie,False,True,False,2.0794415416798357,299,['FR'],Comedy,4.5,1.0986122886681098,0.0
Little Fair Maid,"(6, 7]",2004,15,2.302585092994046,0,0,4.060443010546419,short,False,True,False,0.6931471805599453,9,['NO'],Short,6.5,0.0,0.0
Droopy's Double Trouble,"(7, 8]",1951,13,6.3835066348840055,1,0,2.995732273553991,short,False,True,False,2.1972245773362196,591,['US'],"Animation,Comedy,Family",7.5,2.302585092994046,0.0
L'ultima volta,"(6, 7]",1976,97,4.983606621708336,10,0,3.9889840465642745,movie,False,True,False,2.3978952727983707,146,['IT'],"Crime,Drama",6.5,1.791759469228055,0.0
Alunissons,"(6, 7]",1970,13,2.833213344056216,0,0,1.3862943611198906,short,False,True,False,1.0986122886681098,16,['CH'],"Animation,Short",6.5,0.6931471805599453,0.0
Nine: Kanketsuhen,"(7, 8]",1984,74,2.3978952727983707,1,0,4.48863636973214,tvMovie,False,True,False,0.6931471805599453,10,['JP'],"Animation,Comedy,Drama",7.5,0.0,0.0
Adam-12,"(7, 8]",1968,30,8.545002892055505,2763,4,7.028201432058005,tvSeries,True,True,False,2.3978952727983707,5140,['US'],"Crime,Drama",7.5,3.9512437185814275,1.791759469228055
Aladin dan Lampu Wasiat,"(5, 6]",1982,92,3.1354942159291497,1,0,2.772588722239781,movie,False,True,False,1.3862943611198906,22,['ID'],"Action,Drama",5.5,0.0,0.0
DuckTales,"(7, 8]",1989,28,6.380122536899765,16,0,1.791759469228055,videoGame,False,True,False,1.0986122886681098,589,"['US', 'JP']","Action,Adventure,Family",7.5,1.3862943611198906,0.0
The Case Of The Fishing Lake Murder: Part 2,"(6, 7]",2002,20,1.791759469228055,0,0,2.995732273553991,tvEpisode,False,True,False,0.6931471805599453,5,['IN'],"Action,Crime,Drama",6.5,0.0,0.0
The Yard Sale,"(7, 8]",2007,5,3.332204510175204,0,0,3.1780538303479458,tvShort,False,True,False,0.6931471805599453,27,['CA'],"Comedy,Short",7.5,0.0,0.0
Rock a Bye Baby,"(8, 9]",1987,50,2.8903717578961645,2,0,3.6888794541139363,tvEpisode,False,True,False,0.6931471805599453,17,['GB'],Drama,8.5,0.0,0.0
The Black Doll,"(5, 6]",1938,66,5.545177444479562,7,0,3.5263605246161616,movie,False,True,False,2.0794415416798357,256,['US'],"Comedy,Crime,Horror",5.5,3.1354942159291497,0.0
Blood Tide,"(4, 5]",1982,82,7.8826922062890254,58,1,4.174387269895637,movie,False,True,False,2.5649493574615367,2655,"['GB', 'GR']","Adventure,Horror,Thriller",4.5,4.605170185988092,0.0
EcoQuest 1: The Search for Cetus,"(7, 8]",1991,28,2.995732273553991,1,0,4.442651256490317,videoGame,False,True,False,0.6931471805599453,19,['US'],Family,7.5,0.0,0.0
Tales of Arcadia: New Year's Eve Countdown,"(7, 8]",2018,1,3.6635616461296463,2,0,1.6094379124341003,tvEpisode,False,True,False,0.6931471805599453,38,"['US', 'MX']","Action,Adventure,Animation",7.5,0.0,0.0
Amir Arsalan-e namdar,"(6, 7]",1966,117,4.110873864173311,1,0,3.258096538021482,movie,False,True,False,1.6094379124341003,60,['IR'],"Action,Fantasy,History",6.5,0.6931471805599453,0.0
De la 2D à la 3D,"(6, 7]",2010,40,2.1972245773362196,0,0,1.6094379124341003,tvEpisode,False,True,False,0.6931471805599453,8,['FR'],Comedy,6.5,0.0,0.0
L'expérience inédite,"(6, 7]",1993,71,2.70805020110221,0,0,3.2188758248682006,video,False,True,True,1.0986122886681098,14,['FR'],Adult,6.5,0.0,0.0
Love Letters,"(7, 8]",2019,22,7.239214973779806,2,0,5.081404364984463,tvEpisode,False,True,False,0.6931471805599453,1393,['CA'],Comedy,7.5,1.3862943611198906,0.0
Ana y los lobos,"(7, 8]",1973,92,7.60887062919126,11,0,3.6888794541139363,movie,False,True,False,2.8903717578961645,2016,['ES'],Drama,7.5,2.995732273553991,1.3862943611198906
Blacklist: Hollywood on Trial,"(7, 8]",1996,87,3.4965075614664802,1,0,3.871201010907891,tvMovie,False,True,False,1.0986122886681098,32,['US'],Documentary,7.5,1.0986122886681098,1.0986122886681098
Aller simple,"(6, 7]",2014,47,2.302585092994046,0,0,4.736198448394496,tvEpisode,False,True,False,0.6931471805599453,9,['FR'],"Crime,Drama,Mystery",6.5,0.0,0.0
Bolbol effendi,"(6, 7]",1948,92,4.127134385045092,1,0,2.3978952727983707,movie,False,True,False,1.0986122886681098,61,['EG'],"Comedy,Musical,Romance",6.5,0.0,0.0
María Candelaria (Xochimilco),"(7, 8]",1944,76,7.140453043101158,8,0,3.8066624897703196,movie,False,True,False,2.995732273553991,1262,['MX'],"Drama,Romance",7.5,2.833213344056216,1.3862943611198906
Tik Needar,"(7, 8]",2019,30,4.356708826689592,6,0,3.8501476017100584,tvSeries,True,True,False,1.6094379124341003,77,['IL'],"Drama,Thriller",7.5,0.0,1.0986122886681098
Rumble,"(3, 4]",2016,92,5.765191102784844,3,0,3.5553480614894135,movie,False,True,False,2.3978952727983707,318,['MX'],Action,3.5,2.833213344056216,0.0
B-Boy Stance,"(6, 7]",2007,71,2.5649493574615367,0,0,2.3978952727983707,video,False,True,False,0.6931471805599453,12,['US'],"Comedy,Short",6.5,0.0,0.0
Blinde Kuriere,"(5, 6]",1999,90,3.332204510175204,0,0,3.091042453358316,tvEpisode,False,True,False,0.6931471805599453,27,['DE'],"Crime,Drama,Mystery",5.5,0.0,0.0
Topaye Sindura Dipata Shankha,"(6, 7]",1989,92,2.1972245773362196,0,0,3.5263605246161616,movie,False,True,False,0.6931471805599453,8,['IN'],Drama,6.5,0.0,0.0
San feng qiu huang,"(6, 7]",1963,92,2.1972245773362196,0,0,3.091042453358316,movie,False,True,False,0.6931471805599453,8,['HK'],Comedy,6.5,0.0,0.0
Gruppo Di Improvvisazione Nuova Consonanza,"(6, 7]",1967,47,2.302585092994046,1,0,2.995732273553991,movie,False,True,False,0.6931471805599453,9,['XWG'],"Documentary,Music",6.5,0.0,0.0
Vítejte v Buchnove,"(5, 6]",2018,54,2.9444389791664403,0,0,3.8918202981106265,tvEpisode,False,True,False,0.6931471805599453,18,['CZ'],"Crime,Drama",5.5,0.0,0.0
Islands of Wonder,"(7, 8]",2020,129,3.9512437185814275,4,2,0.6931471805599453,tvMiniSeries,True,True,False,0.6931471805599453,51,['US'],"Adventure,Documentary",7.5,0.0,0.0
The Hollywood Squares (Syndication),"(7, 8]",1971,30,4.30406509320417,2,0,5.075173815233827,tvSeries,True,True,False,0.6931471805599453,73,['US'],Game-Show,7.5,0.0,0.0
Monseigneur,"(6, 7]",1949,92,4.382026634673881,2,0,3.912023005428146,movie,False,True,False,1.3862943611198906,79,['FR'],Drama,6.5,1.0986122886681098,0.0
The Phenom,"(6, 7]",1981,48,5.123963979403259,28,0,3.258096538021482,tvEpisode,False,True,False,0.6931471805599453,166,['US'],"Action,Adventure,Drama",6.5,1.6094379124341003,0.0
If Night Comes,"(7, 8]",2014,83,2.3978952727983707,1,0,4.672828834461906,movie,False,True,False,0.6931471805599453,10,['US'],"Adventure,Comedy,Drama",7.5,0.0,0.0
Jurassic,"(6, 7]",2014,13,2.1972245773362196,0,0,3.1780538303479458,short,False,True,False,1.0986122886681098,8,['GB'],"Drama,Fantasy,Romance",6.5,0.0,0.0
Sadist,"(7, 8]",2007,6,2.3978952727983707,1,0,3.1354942159291497,short,False,True,False,0.6931471805599453,10,['US'],"Comedy,Horror,Short",7.5,0.6931471805599453,0.0
The Killer Bra,"(6, 7]",2010,21,3.784189633918261,1,0,3.2188758248682006,video,False,True,False,0.6931471805599453,43,['CA'],"Comedy,Horror,Short",6.5,1.3862943611198906,0.0
El hombre que volvió de la muerte,"(8, 9]",1969,129,3.784189633918261,3,0,3.332204510175204,tvMiniSeries,True,True,False,1.0986122886681098,43,['AR'],"Crime,Drama,Horror",8.5,0.6931471805599453,0.0
Dil Kush,"(8, 9]",2024,135,6.298949246855942,1,2,2.70805020110221,movie,False,True,False,0.6931471805599453,543,['IN'],Romance,8.5,0.6931471805599453,0.0
Dangerous Holiday,"(6, 7]",1957,5,2.3978952727983707,0,0,2.9444389791664403,tvEpisode,False,True,False,0.6931471805599453,10,['US'],"Animation,Family,Sci-Fi",6.5,0.0,0.0
"Morning, Noon & Night","(4, 5]",2018,101,4.007333185232471,55,1,4.465908118654584,movie,False,True,False,0.6931471805599453,54,['US'],Comedy,4.5,0.6931471805599453,0.0
La marcheuse,"(5, 6]",2015,77,3.970291913552122,4,0,4.454347296253507,movie,False,True,False,1.6094379124341003,52,['FR'],Drama,5.5,1.6094379124341003,1.0986122886681098
Jones and the Lady Book Agent,"(5, 6]",1909,6,3.332204510175204,0,0,2.6390573296152584,short,False,True,False,0.6931471805599453,27,['US'],"Comedy,Short",5.5,1.3862943611198906,0.0
Southern Discomfort,"(8, 9]",2017,78,2.4849066497880004,2,0,2.5649493574615367,movie,False,True,False,0.6931471805599453,11,['US'],Documentary,8.5,1.0986122886681098,0.0
Teeny Exzesse 50 - Kolbenfresser,"(6, 7]",1997,91,3.091042453358316,0,0,3.4965075614664802,video,False,True,True,1.0986122886681098,21,['DE'],"Action,Adult,Sport",6.5,0.0,0.0
