startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
1983;40;9;0;0;54;0;1;9;6.5;0
2014;40;237;2;0;200;0;1;237;7.5;4
1996;50;37;2;0;80;0;1;37;8.5;0
2007;71;9;0;0;9;0;1;9;5.5;1
1965;30;302;11;0;40;0;1;302;7.5;4
2012;71;8;0;0;25;0;1;8;4.5;1
1980;77;678;0;0;43;0;8;680;6.5;27
1985;90;10;0;0;24;0;1;10;5.5;1
1989;35;45;8;0;85;0;1;45;5.5;1
2011;44;127;1;0;180;0;1;127;7.5;1
1983;53;52;3;0;64;0;6;52;7.5;0
2005;53;149;39;0;48;0;1;149;9.5;5
1934;16;270;4;0;18;0;1;270;3.5;14
1998;95;413;10;0;191;0;10;413;5.5;26
1951;103;21;2;0;10;0;2;21;7.5;0
2009;13;5;1;0;24;0;1;5;8.5;0
1975;40;103;0;0;46;0;1;103;7.5;1
1994;72;8;0;0;44;0;1;8;6.5;0
2009;45;3195;4;0;146;0;1;3203;7.5;5
2018;103;22710;50;51;649;0;41;22725;5.5;368
1971;25;110;27;0;30;0;1;111;8.5;2
2021;49;2451;5;0;236;0;1;2455;7.5;26
1974;18;11;9;0;6;0;1;11;5.5;0
2018;78;13;16;0;37;0;4;13;4.5;0
2007;22;157;2;0;93;0;1;157;6.5;0
2014;28;46;5;1;48;0;5;46;4.5;2
1919;14;24;1;0;6;0;5;24;5.5;0
1987;40;14;0;0;39;0;7;14;6.5;1
2007;69;70;1;0;167;0;1;70;8.5;0
1995;90;34;8;0;55;0;1;34;7.5;1
2023;39;9;1;0;54;0;1;9;8.5;0
2023;13;81;4;0;11;1;1;81;7.5;3
2020;50;226;52;1;154;1;17;226;6.5;24
2010;92;22;1;0;19;0;1;22;5.5;0
2010;81;22;1;0;6;0;1;22;9.5;3
2022;71;5;2;0;12;0;1;5;8.5;0
1991;87;129;2;0;9;0;4;129;7.5;6
1992;45;109;3;0;32;0;2;109;4.5;4
1958;99;111;74;0;59;0;4;111;8.5;1
2020;81;8;1;0;7;0;1;8;5.5;0
2003;40;81;5;0;14;0;1;81;8.5;0
1993;45;36;0;0;82;0;1;37;6.5;0
2014;59;41;1;0;120;0;7;41;7.5;0
2017;20;755;5;0;34;1;4;755;6.5;27
2019;64;47;12;0;20;0;2;47;7.5;0
1963;30;246;4;0;38;0;1;246;6.5;2
2018;92;26;3;1;43;1;1;26;6.5;2
1997;22;610;4;0;60;0;1;610;7.5;1
2006;82;20;0;0;29;0;2;20;6.5;0
1995;71;99;0;0;11;0;2;99;6.5;0
