startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
2020;40;5;0;0;54;0;1;5;6.5;0
2015;20;7;1;0;4;0;1;7;5.5;0
2023;120;78;2;0;41;0;3;78;6.5;13
1937;13;78;2;0;4;0;1;78;6.5;3
2021;40;21;1;0;44;0;1;21;6.5;0
2019;33;83;1;0;83;0;1;83;7.5;0
2012;13;106;1;0;38;1;4;106;6.5;3
1999;88;646;14;1;57;0;3;646;4.5;52
2003;25;33;0;0;11;0;1;33;7.5;0
1993;92;22;3;0;29;0;1;22;5.5;0
1970;40;746;9;0;93;0;1;745;8.5;2
2006;28;24;2;0;9;0;1;24;5.5;0
1992;71;15;1;0;2;0;1;15;8.5;1
1989;60;115;34;0;434;0;5;115;7.5;2
2010;60;142;0;0;11;0;7;142;0.5;0
1970;55;22;1;0;5;0;1;22;7.5;0
1973;115;1503;80;0;165;0;22;1503;6.5;50
1995;328;217;3;0;12;0;7;217;7.5;4
1971;13;9;0;0;9;0;1;10;5.5;1
1973;137;16;2;0;30;0;1;16;5.5;0
1990;60;68;10;0;443;4;4;68;5.5;1
2015;154;7270;36;1;249;9;9;7272;5.5;61
2014;59;75;2;0;19;0;1;75;8.5;0
1943;92;16;2;0;36;0;4;16;8.5;0
1975;48;139;1;0;49;0;1;139;7.5;3
2013;53;65;1;0;8;0;1;65;8.5;0
1940;82;271;16;0;56;0;6;271;6.5;19
2012;29;933;15;0;106;0;1;934;7.5;0
2021;8;18;38;1;39;36;1;18;6.5;1
1964;7;24;1;0;25;0;1;24;6.5;0
1996;92;2915;4;0;62;1;14;2915;6.5;53
2022;92;236;8;0;42;9;11;236;7.5;4
2012;40;177;1;0;94;0;1;177;7.5;0
2015;13;8;2;0;39;0;1;8;7.5;0
2015;40;10;1;0;44;0;1;10;7.5;0
2011;40;6;0;0;59;0;1;6;8.5;0
2004;42;479;1;0;94;0;1;479;8.5;4
1998;120;103;0;0;11;0;1;103;7.5;3
1954;85;412;3;0;78;0;8;412;6.5;3
2014;13;56;0;0;28;0;1;56;8.5;0
2015;22;8;0;0;15;0;1;8;6.5;0
1940;7;178;4;0;18;0;2;179;6.5;5
2019;99;129;30;0;92;0;2;129;2.5;1
1978;95;9;1;0;29;0;1;9;5.5;0
1971;86;35;11;0;40;0;4;35;4.5;0
1995;30;149;12;0;17;1;2;149;7.5;2
1985;60;10;1;0;30;0;1;10;8.5;0
1996;21;16;1;0;69;0;1;16;6.5;1
1995;90;16;2;0;30;0;1;16;6.5;0
1967;40;529;1;0;45;0;1;529;7.5;13
1972;92;11;1;0;19;0;1;11;3.5;0
1996;96;426;1;0;77;0;10;427;5.5;12
1992;54;13;1;0;15;0;1;13;7.5;0
2013;53;255;31;1;124;0;1;255;6.5;5
1998;47;46;4;0;62;0;1;46;7.5;0
1976;75;62;3;0;42;0;3;62;6.5;3
2024;122;44;6;1;17;0;6;44;6.5;0
1989;40;5;1;0;26;0;1;5;6.5;0
2019;51;71;1;0;75;0;1;71;7.5;0
1998;23;6;0;0;7;0;1;6;7.5;0
1988;56;35;1;0;12;0;1;35;8.5;0
1975;24;14;0;0;8;0;1;14;7.5;0
1980;24;28;0;0;3;0;1;28;6.5;0
1994;85;12;1;0;30;0;1;12;4.5;0
1975;92;17;0;0;9;0;1;17;5.5;3
1953;10;65;2;0;11;0;1;65;6.5;1
1977;30;33;0;0;5;0;1;33;7.5;0
1966;89;125;9;0;40;0;1;125;6.5;0
2001;80;49;4;0;24;1;2;49;6.5;3
1950;139;45;3;0;55;0;1;45;6.5;2
1960;30;28;0;0;86;0;1;28;8.5;0
2018;28;6296;17;0;259;0;1;6300;8.5;28
2010;42;24;1;0;47;0;1;24;8.5;0
2016;24;318;8;0;52;0;1;319;7.5;0
1994;71;50;0;0;27;0;1;50;5.5;0
2023;92;114;2;1;32;0;5;114;6.5;2
1988;73;19;0;0;23;0;1;19;5.5;2
1937;16;10;0;0;12;0;1;10;6.5;2
1965;30;233;8;0;37;0;1;233;6.5;7
1963;60;17;0;0;32;0;1;17;7.5;0
1945;90;195;1;0;33;0;9;195;6.5;3
1998;82;27;1;0;37;1;1;27;6.5;0
1987;28;91;2;1;47;0;1;91;7.5;0
1979;89;39;9;0;27;0;3;39;5.5;2
1930;78;44;1;0;26;0;4;44;7.5;1
2014;53;17;1;0;49;2;1;17;7.5;0
1998;93;23;0;0;29;0;1;23;5.5;1
2012;22;99;1;0;146;0;1;99;8.5;0
1994;45;4295;17;0;130;0;1;4297;8.5;31
1929;68;15;3;0;12;0;8;15;7.5;1
1958;90;43;2;0;62;0;3;43;5.5;1
1917;92;31;2;0;16;0;3;31;6.5;0
1999;30;24;1;0;8;0;5;24;7.5;0
2006;40;69;0;0;22;0;7;69;5.5;0
1978;25;24;1;0;34;0;1;24;6.5;0
2017;21;15;0;0;62;0;1;15;7.5;1
2021;59;9;1;0;26;0;1;9;6.5;0
1996;53;38;1;0;72;0;2;38;8.5;0
2011;9;629;2;0;43;0;4;629;8.5;2
2006;43;666;1;0;175;0;1;667;7.5;1
1951;40;7;0;0;28;0;7;7;7.5;1
1998;25;11;1;0;48;0;1;11;6.5;0
2014;45;12;0;0;6;0;1;12;8.5;0
1993;29;41;2;0;43;0;1;41;8.5;1
2022;40;59;5;0;70;0;1;60;9.5;0
1967;17;81;1;0;10;0;1;81;6.5;5
2005;5;19;0;0;29;0;1;19;7.5;0
2024;40;12;10;0;22;0;1;12;6.5;0
2021;21;9;10;1;37;18;1;9;8.5;0
1974;53;22;0;0;88;0;4;22;8.5;1
2001;138;66;0;0;24;0;3;66;5.5;0
2021;40;26;1;0;31;0;1;26;6.5;0
1995;103;2831;17;0;76;1;5;2832;6.5;4
1997;90;33;0;0;46;0;1;33;7.5;0
1958;25;16;4;0;76;0;1;16;8.5;0
1918;92;27;2;0;10;0;5;27;6.5;2
1987;102;981;4;0;91;0;1;982;7.5;15
2016;21;7;1;0;9;1;1;7;7.5;0
1987;87;41;7;0;138;3;2;41;6.5;1
2012;120;139;2;0;63;0;1;139;7.5;5
2020;92;12;3;0;54;1;3;12;8.5;0
1993;92;33;3;0;13;0;1;33;5.5;1
2009;22;8;1;0;17;3;2;8;4.5;0
1987;40;15;0;0;31;0;1;15;8.5;1
2007;40;10;0;0;84;0;1;10;7.5;0
1971;30;34;7;0;136;0;4;34;6.5;2
2007;44;121;1;0;94;1;1;121;7.5;0
2004;28;129;2;0;99;0;1;129;8.5;4
1998;40;17;0;0;46;0;1;17;8.5;0
1994;40;197;1;0;90;0;1;197;8.5;1
2009;7;14;1;0;21;0;4;14;7.5;0
2011;84;96;18;0;66;0;3;96;6.5;2
2009;70;10;1;1;28;0;1;10;7.5;0
1996;28;5;1;0;15;0;1;5;7.5;1
1975;110;93;4;0;59;0;20;93;5.5;5
1958;40;510;13;0;27;0;1;510;7.5;10
2016;7;29;1;0;9;0;1;29;1.5;1
1896;1;111;1;0;1;0;1;111;4.5;1
1994;7;22;1;0;2;0;1;22;6.5;0
2022;6;250;1;0;31;0;1;249;6.5;0
1968;60;10;1;0;37;0;1;10;7.5;0
1927;60;46;14;0;13;0;5;46;5.5;3
1998;61;63;2;0;29;0;1;63;4.5;0
2020;13;9;18;0;23;1;2;9;9.5;0
1994;24;94;1;0;67;0;1;94;7.5;0
1994;25;25;4;0;26;0;1;25;7.5;1
2011;43;4802;30;0;161;0;1;4806;8.5;11
2004;45;24;0;0;40;0;7;24;3.5;0
1916;50;56;6;0;17;0;2;56;5.5;0
2016;90;199;24;0;110;2;10;199;6.5;2
2018;40;29;3;0;35;0;1;29;6.5;0
1982;8;5;1;0;7;0;2;5;6.5;0
1988;10;27;2;0;28;0;5;27;6.5;0
2019;21;1561;7;0;115;0;1;1561;7.5;8
1952;6;529;6;0;27;0;12;529;6.5;6
1934;13;73;8;0;6;0;1;73;5.5;5
2023;44;5;0;0;45;0;7;5;7.5;0
1967;40;9;0;0;9;0;1;9;6.5;0
2009;49;28;0;0;135;0;1;28;6.5;0
2022;92;31;2;0;8;0;1;31;8.5;1
2018;91;100;16;1;89;8;3;100;7.5;9
2009;28;41;1;0;14;0;1;41;7.5;1
2019;165;1393;35;5;71;0;10;1394;5.5;35
1972;19;17;1;0;3;0;1;17;7.5;0
2013;91;1283;3;0;135;3;6;1282;6.5;3
2005;13;14;1;0;10;0;1;14;8.5;1
1963;40;23;0;0;30;0;1;23;7.5;0
2020;40;6;2;0;27;0;1;6;7.5;0
1995;101;1275;1;0;33;0;2;1276;2.5;1
1961;92;8;2;0;8;0;1;8;4.5;0
1993;40;27;0;0;77;0;1;27;8.5;0
1964;79;252;47;0;43;0;2;252;4.5;15
2023;49;1021;2;2;356;0;1;1021;8.5;9
1993;77;139;0;0;23;0;1;139;4.5;1
2012;118;38;0;0;27;0;2;38;4.5;2
1974;90;9;1;0;27;0;1;9;6.5;0
1983;40;36;0;0;38;0;1;36;8.5;0
2015;40;7;1;0;4;0;1;7;7.5;0
1997;40;80;2;0;69;0;1;80;6.5;1
1982;103;47;2;0;67;0;1;48;6.5;1
2002;24;111;2;0;56;0;1;111;8.5;1
2015;71;13;14;0;12;0;1;13;7.5;1
1970;60;22;1;0;43;0;1;22;8.5;0
2017;60;3063;29;3;184;0;1;3065;8.5;2
1928;60;23;0;0;14;0;3;23;6.5;0
2013;105;45;1;0;55;2;1;45;7.5;8
2022;53;334;1;1;29;0;15;335;7.5;18
1969;60;39;12;0;26;0;1;39;9.5;0
2001;11;368;1;0;37;0;1;368;7.5;2
1971;111;30;9;0;66;0;2;30;5.5;0
1937;110;32;21;0;29;0;1;32;6.5;0
1943;66;83;5;0;29;0;3;83;5.5;4
2012;13;8;0;0;23;0;1;8;6.5;0
2014;40;758;11;0;3;0;1;761;7.5;0
2013;22;113;1;0;78;0;1;113;7.5;0
1971;23;32;0;0;33;0;1;32;7.5;2
1977;40;145;1;0;53;0;1;145;7.5;8
1954;83;13;2;0;31;0;3;13;5.5;0
2020;60;947;2;1;73;0;11;947;6.5;29
2019;47;14;4;0;27;0;7;14;8.5;0
1937;8;460;4;0;38;0;2;460;6.5;7
1980;91;9593;27;1;75;3;15;9593;7.5;125
1961;30;139;1;0;39;0;1;139;7.5;2
1980;1;13;1;0;4;0;1;13;5.5;0
2022;13;16;1;0;8;0;1;16;9.5;0
2003;7;15;2;0;33;0;1;15;7.5;0
1989;91;897;14;0;163;1;20;897;5.5;18
1999;71;11;0;0;23;0;2;11;6.5;0
1990;92;1813;22;1;114;1;20;1813;5.5;29
2013;60;16;1;0;11;3;5;16;6.5;3
1970;25;17;0;0;45;0;1;17;6.5;0
1977;90;18978;52;0;53;0;7;18979;8.5;7
1982;22;131;2;0;37;0;2;131;5.5;1
2021;64;10;0;0;37;0;1;10;7.5;0
2020;42;935;17;0;185;0;1;935;7.5;2
2007;100;3953;23;0;110;0;5;3953;1.5;5
1986;92;32;1;0;11;2;4;32;6.5;1
1989;92;131;2;0;22;0;1;131;6.5;0
2021;13;5;8;0;21;1;1;5;9.5;0
2020;53;29;38;0;86;0;2;30;5.5;0
1966;15;5;0;0;5;0;1;5;7.5;0
2006;95;55;2;0;32;0;1;55;5.5;1
2012;90;285;1;0;29;3;9;285;7.5;20
1984;99;14817;171;1;204;1;32;14820;5.5;197
1995;98;227;4;0;82;3;3;227;6.5;0
1941;58;26;14;0;24;0;3;26;5.5;0
1984;92;16;51;0;43;0;2;16;5.5;0
1972;53;15;0;0;48;0;2;15;5.5;2
1908;8;6;6;0;3;0;1;6;5.5;0
1985;60;254;17;2;357;3;7;254;7.5;2
1991;25;43;2;0;30;0;1;43;7.5;2
2018;50;76;24;10;65;0;2;76;8.5;3
2019;40;117;1;0;47;0;1;117;6.5;0
2019;22;497;1;0;79;0;1;498;7.5;0
1998;52;35;2;0;25;0;1;35;8.5;3
1964;50;9;0;0;1;0;1;9;6.5;0
1961;92;151;1;0;35;0;8;151;5.5;10
1991;43;898;16;0;76;0;6;898;1.5;34
2001;15;9;1;0;21;0;1;9;6.5;0
1941;54;90;4;0;51;0;5;90;6.5;7
2022;72;3533;34;0;396;0;1;3535;8.5;20
2012;77;8;2;0;58;0;1;8;7.5;0
2001;23;10;1;0;29;0;1;10;7.5;0
1998;30;21;2;0;532;0;1;21;7.5;0
1985;30;35;1;0;5;0;1;35;8.5;0
1999;53;9;0;0;11;0;1;9;8.5;0
2018;158;265;20;0;22;0;1;265;8.5;1
1964;92;93;1;0;65;0;9;93;5.5;4
1936;68;52;1;0;19;0;2;52;5.5;0
1966;60;95;27;0;39;0;1;95;6.5;6
1971;30;96;0;0;20;0;1;96;7.5;2
1946;228;51;14;0;40;0;3;51;6.5;4
1974;52;365;3;0;8;0;14;365;6.5;4
1989;13;6;0;0;16;0;1;6;5.5;0
2019;12;80;2;0;18;1;1;80;5.5;3
2014;23;149;4;0;53;1;2;149;6.5;1
1933;7;34;0;0;8;0;1;34;4.5;1
1992;100;172;1;0;45;1;3;172;6.5;0
1991;90;29;1;0;24;3;6;29;5.5;3
1941;91;397;25;0;77;0;17;397;6.5;14
1970;55;22;1;0;43;0;1;22;6.5;0
2009;57;10;19;2;60;0;1;10;7.5;0
2020;26;114;15;0;57;0;1;114;8.5;1
1978;82;22;0;0;17;0;1;22;7.5;0
1953;92;20;1;0;51;0;1;20;5.5;0
1990;18;33;1;0;16;0;1;33;6.5;0
2021;60;21;8;0;14;0;1;21;7.5;0
2014;2;11;0;1;6;0;1;11;6.5;0
2005;41;7418;87;1;166;0;1;7425;7.5;15
2006;22;451;21;0;62;0;1;451;7.5;0
2002;53;17;1;0;21;0;1;17;5.5;0
2003;107;173;1;1;30;0;4;173;5.5;1
1996;129;149;4;0;147;0;4;149;5.5;1
1987;30;13;0;0;32;0;7;13;5.5;0
2005;4;111;1;0;23;0;1;111;7.5;0
2001;139;6;2;0;17;0;1;6;5.5;0
1989;104;24;2;0;33;0;4;24;7.5;0
2013;46;235;1;0;86;0;1;235;7.5;1
2018;92;11;28;0;37;0;1;11;5.5;0
2016;53;21;0;0;252;0;1;21;5.5;0
1975;60;156;0;0;52;0;1;157;7.5;4
2015;98;291;1;0;18;0;1;293;3.5;0
2021;52;525;2;1;156;0;1;526;8.5;7
1999;40;29;1;0;89;0;1;29;7.5;0
1971;61;15;0;0;9;0;1;15;5.5;4
2008;53;8;0;0;11;0;1;8;3.5;0
2012;15;22;5;0;18;0;1;22;6.5;0
1964;51;532;15;0;44;0;1;532;7.5;9
1979;88;27;1;0;23;0;1;27;5.5;0
1983;90;21;1;0;37;0;3;21;4.5;1
2024;129;32;16;1;168;0;3;32;7.5;0
1986;40;19;37;0;29;0;1;19;7.5;0
2018;46;8;0;0;28;0;7;8;8.5;0
2017;9;8;1;0;6;0;1;8;8.5;0
2022;13;6;2;0;13;0;1;6;7.5;0
1953;73;616;14;0;33;0;23;616;5.5;27
1912;13;17;1;0;8;0;1;17;4.5;1
1965;28;9;2;0;16;0;1;9;7.5;0
1933;92;846;20;0;52;0;12;846;6.5;21
1957;30;577;189;0;720;0;5;577;7.5;10
1997;40;7;0;0;51;0;7;7;7.5;0
1973;19;1130;19;0;25;0;8;1130;7.5;2
2004;22;103;2;0;42;0;1;103;6.5;0
2022;86;566;3;1;129;0;8;569;6.5;9
1957;86;16;8;0;97;0;2;16;6.5;0
1921;13;13;2;0;8;0;1;13;7.5;1
2006;53;963;2;0;207;0;8;964;7.5;6
2022;101;23;8;0;16;0;2;23;7.5;0
1986;45;12;0;0;20;0;1;12;8.5;0
2015;40;532;1;0;36;0;1;532;6.5;4
2014;15;9;1;0;46;1;1;9;7.5;0
1987;123;717;43;0;133;4;8;720;6.5;2
2021;45;15;0;0;8;0;1;15;3.5;0
2010;92;7;1;0;6;0;1;7;5.5;0
2008;17;13;1;1;10;0;1;13;7.5;1
1934;87;10;1;0;38;0;10;10;6.5;0
2011;14;61;1;1;68;0;1;61;6.5;3
2011;3;28;2;1;10;0;1;28;6.5;0
2008;85;21;0;0;24;0;1;21;5.5;1
1999;40;105;1;0;95;0;1;105;6.5;0
1980;13;23;1;0;13;0;1;23;6.5;0
2002;88;103;2;0;38;0;2;103;7.5;6
2022;29;38;1;0;7;0;1;38;5.5;0
1984;98;53;1;0;56;0;1;53;5.5;2
1972;50;137;9;0;55;0;1;137;7.5;1
1991;25;38;1;0;23;0;1;38;7.5;1
1999;60;11;1;0;23;0;7;11;6.5;0
1975;48;24;0;0;16;0;1;24;6.5;3
1966;92;1126;92;1;46;0;16;1127;5.5;102
2019;84;49;1;0;251;0;3;49;7.5;0
1974;28;51;7;0;17;0;1;51;7.5;0
2016;59;217;1;0;141;0;7;217;7.5;5
2009;10;27;3;0;17;0;1;27;6.5;2
2021;26;10;4;0;104;0;1;10;6.5;0
1970;60;169;2;0;94;2;4;169;2.5;2
2020;47;205;1;0;41;0;1;205;7.5;2
1977;119;527;11;0;52;0;5;527;5.5;3
2003;2;8;0;0;11;0;2;8;5.5;0
2008;89;103;3;0;88;0;4;103;4.5;8
1973;98;82;7;0;37;0;8;82;5.5;8
1995;68;10;6;0;35;0;1;10;7.5;0
2012;23;75;1;0;88;0;1;75;7.5;0
1994;49;283;2;0;93;0;1;283;8.5;7
2021;47;190;1;0;125;0;7;191;6.5;13
2013;97;10;1;0;16;0;2;10;8.5;0
1951;92;13;2;0;14;0;6;13;7.5;0
2008;92;43;1;0;9;4;2;43;7.5;0
2008;22;4686;9;0;73;0;1;4692;5.5;29
1985;60;15;1;0;76;0;1;15;5.5;0
2015;40;93;4;0;51;0;1;93;7.5;1
1999;84;7;0;0;10;0;1;7;7.5;0
2006;102;595;5;0;145;3;5;595;4.5;15
1949;95;24;0;0;47;0;9;24;5.5;2
1963;60;19;2;0;17;0;1;19;6.5;0
2014;40;668;9;0;323;0;1;669;7.5;4
1999;93;469;5;1;105;0;7;469;6.5;17
2013;93;1210;21;1;109;0;13;1212;5.5;12
1979;92;257;12;0;58;0;9;257;5.5;4
1998;40;111;2;0;76;0;1;111;7.5;0
2018;5;15;1;0;7;0;1;15;3.5;0
1975;88;1074;4;0;19;0;11;1074;6.5;19
1979;11;7;2;0;14;0;1;7;4.5;0
2018;82;78;6;1;64;1;4;78;4.5;10
2005;55;9;0;0;7;0;1;9;6.5;0
1984;93;31;1;0;41;0;1;31;5.5;0
2017;92;9;3;0;9;0;1;9;7.5;0
2019;47;929;169;0;227;0;1;929;8.5;4
1987;95;16;0;0;15;0;2;16;7.5;0
1956;88;1754;22;0;44;1;23;1753;7.5;30
1995;95;220;1;0;127;0;2;220;5.5;2
2001;50;19;0;0;16;0;1;19;7.5;0
1995;84;858;37;0;189;0;8;859;4.5;38
2019;40;146;2;0;100;0;1;145;6.5;1
1933;76;12;1;0;31;0;4;12;7.5;0
1989;103;59591;163;2;215;0;39;59601;6.5;137
1937;65;65;6;0;39;0;5;65;6.5;9
1944;7;19;1;0;11;0;1;19;5.5;2
1978;60;30;1;0;57;0;1;30;7.5;0
1999;92;139;1;0;45;0;4;139;5.5;0
2016;60;13;3;0;95;0;1;13;6.5;0
2018;84;85;30;1;24;0;5;85;5.5;0
2022;53;16;1;0;6;0;1;16;7.5;0
2010;109;102;2;1;27;0;4;102;6.5;0
2006;43;5999;3;0;143;0;1;6015;7.5;16
2019;128;91;4;1;123;1;1;91;7.5;0
2021;37;8;1;0;5;0;1;8;8.5;0
2011;24;114;12;0;47;0;1;115;6.5;1
1995;28;23;4;0;11;0;2;23;6.5;0
1988;92;18;1;0;52;0;1;18;5.5;2
1983;60;88;0;0;67;0;1;88;6.5;1
2016;140;220;4;1;55;0;1;220;4.5;6
1989;25;124;1;0;14;0;1;124;7.5;0
2023;118;62;2;2;23;0;5;62;5.5;1
1988;92;26;0;0;11;0;7;26;4.5;0
2018;40;807;5;0;84;0;1;807;8.5;0
1981;23;30;1;0;12;0;2;30;6.5;1
1996;90;29;2;0;15;0;6;29;7.5;0
2020;40;13;0;0;7;0;1;13;7.5;0
2019;40;496;9;0;25;0;1;497;7.5;2
1992;85;21;0;0;61;0;1;21;7.5;1
2001;90;17;0;0;14;0;1;17;7.5;3
2008;23;22;1;0;25;0;1;22;8.5;0
1985;23;95;1;0;67;0;1;95;6.5;0
2013;129;32;1;0;53;1;1;32;6.5;0
1964;99;191;4;0;56;0;6;191;6.5;3
1961;40;67;3;0;35;0;1;67;7.5;3
1942;98;25;1;0;19;0;3;25;5.5;1
2024;22;31;2;0;11;0;1;31;7.5;0
1972;53;22;1;0;111;0;2;22;8.5;0
2004;12;45;0;0;66;1;1;45;6.5;1
2010;15;34;1;0;18;0;1;34;7.5;0
1940;107;13;3;0;41;0;1;13;4.5;1
1978;81;11;1;0;63;0;1;11;7.5;0
2022;40;21;0;0;17;0;1;21;5.5;0
1983;23;13;11;0;32;0;1;13;7.5;1
2023;40;25;1;0;62;0;1;25;7.5;1
1966;30;26;3;0;9;0;1;26;7.5;0
2019;40;27;1;0;28;0;1;27;5.5;1
1967;92;6;1;0;31;0;1;6;6.5;0
1967;26;46;2;0;20;0;1;47;7.5;2
2007;40;788;27;0;144;0;1;788;7.5;5
1945;84;128;6;0;70;0;12;127;5.5;3
1975;92;198;61;0;26;1;12;198;5.5;3
1997;49;99;57;1;50;0;1;99;8.5;1
2001;22;128;3;0;46;0;1;128;8.5;1
1990;95;46;1;0;16;0;4;46;5.5;0
1973;92;83;5;0;32;1;1;83;6.5;0
1994;44;824;14;0;99;0;1;824;6.5;7
2012;24;40;2;0;62;0;1;41;7.5;0
1954;87;60;4;0;32;1;2;60;6.5;2
1968;25;41;0;0;42;0;1;41;7.5;0
1994;43;87;0;0;95;0;1;87;8.5;0
1983;53;7;4;0;5;0;1;7;7.5;0
1968;60;78;3;0;40;0;1;78;7.5;1
1987;40;14;0;0;72;0;1;14;7.5;1
1999;133;200425;320;1;369;5;47;200467;6.5;936
1968;30;68;1;0;43;0;1;70;7.5;0
1931;20;31;5;0;20;0;2;31;7.5;4
1974;83;46;3;0;53;0;4;46;7.5;0
1951;7;323;8;0;19;0;7;323;7.5;4
1989;82;22;1;0;88;0;1;22;7.5;1
1998;40;124;2;0;18;0;1;124;7.5;1
2009;30;25;0;0;41;0;1;25;6.5;0
1992;81;116;0;0;14;0;1;116;5.5;3
1972;60;22;2;0;7;0;1;22;8.5;4
1983;23;14;13;0;30;0;1;14;7.5;1
1994;30;8;0;0;14;0;1;8;6.5;0
1995;40;6;1;0;1;0;1;6;6.5;0
1983;92;220;3;0;23;0;6;220;6.5;3
1952;53;410;30;0;1885;11;6;410;7.5;10
2003;86;12;0;0;22;0;3;12;7.5;1
1974;75;155;2;0;49;0;1;155;7.5;6
2002;40;18;0;0;37;0;1;18;6.5;0
2013;96;135;2;0;11;0;5;135;4.5;2
1996;90;644;10;1;108;0;16;644;3.5;15
2019;45;106;3;0;49;0;3;106;5.5;7
2011;40;21;0;0;33;0;1;21;7.5;0
2007;71;39;1;0;2;0;1;39;5.5;0
2024;40;631;5;0;56;0;1;634;7.5;5
2018;80;107;7;0;28;0;3;107;5.5;13
1965;26;659;1;0;38;0;1;659;5.5;6
2008;15;9;0;0;10;0;1;9;6.5;1
2015;28;1092;4;0;153;5;1;1094;8.5;8
2020;13;7;4;0;7;0;1;7;8.5;1
2007;18;56;2;0;53;0;1;56;5.5;3
1997;83;620;4;0;76;1;3;620;2.5;29
2021;53;10;44;0;75;0;2;10;8.5;0
1980;127;11;1;0;20;0;4;11;5.5;0
1998;92;84409;83;1;389;5;46;84427;5.5;290
2015;42;582;15;2;240;0;1;582;8.5;3
1993;25;3686;38;0;271;1;23;3687;8.5;32
2015;22;15;15;0;48;0;1;15;7.5;0
2009;13;6;13;2;38;0;1;6;4.5;0
2006;16;28;1;0;45;0;1;28;7.5;2
2004;81;17;1;0;25;0;1;17;7.5;1
2009;110;228;24;0;32;0;1;228;6.5;0
2001;22;447;6;0;139;0;1;447;7.5;1
1944;59;69;7;0;27;0;1;68;5.5;3
2001;89;38;1;0;31;0;4;38;6.5;2
2010;19;12;9;0;51;5;2;12;6.5;0
2014;45;432;353;0;152;0;1;433;8.5;5
2003;89;111;2;0;23;0;3;111;6.5;7
2018;1;11;1;0;5;0;1;11;7.5;0
1970;60;24;10;0;34;0;1;24;8.5;0
2014;40;506;6;0;223;0;1;506;8.5;2
1977;92;688;32;0;106;2;16;688;5.5;15
2007;9;16;0;0;10;0;1;16;8.5;0
1971;87;188;2;0;38;0;3;188;5.5;7
1923;70;15;11;0;20;0;2;15;2.5;1
1928;84;1636;19;0;78;1;15;1636;6.5;51
2005;92;10;0;0;7;0;1;10;7.5;0
1960;30;48;1;0;37;0;1;48;7.5;3
1997;40;200;4;0;87;0;1;200;7.5;6
2015;87;9;3;0;12;0;1;9;7.5;0
2005;13;7;1;0;1;0;1;7;9.5;1
2005;10;117;1;0;13;1;3;117;6.5;0
2005;36;60;0;0;20;0;1;60;6.5;0
2009;40;31;20;0;272;0;1;31;6.5;0
1967;60;90;1;0;47;0;1;90;7.5;4
1986;87;2486;21;0;72;0;20;2487;6.5;6
1951;92;23;4;0;25;0;2;23;6.5;0
1975;60;40;0;0;37;0;1;40;8.5;1
1997;103;9;0;0;80;0;1;9;6.5;0
2008;71;26;0;0;90;0;1;26;4.5;0
2013;105;40;1;1;46;1;9;40;7.5;3
2018;40;325;6;0;404;0;1;325;8.5;2
2011;130;15;0;0;23;0;1;15;6.5;2
1993;23;23;1;0;67;0;1;23;5.5;1
1989;89;139;4;0;53;0;8;139;4.5;5
2010;77;17;5;0;27;0;4;17;7.5;0
2011;22;667;1;0;135;0;1;668;6.5;1
1974;6;19;1;0;17;0;1;19;5.5;1
1986;120;106;2;0;64;0;8;106;6.5;3
2012;59;63;18;0;82;0;1;63;7.5;0
1999;71;259;16;0;130;0;4;259;2.5;12
2003;71;50;1;0;19;0;1;50;8.5;0
1960;81;108;1;0;18;0;1;108;7.5;0
2008;5;11;0;0;7;0;1;11;5.5;0
2016;3;19;6;0;34;1;1;19;6.5;0
1991;80;7;1;0;5;0;1;7;8.5;0
2012;7;19;1;0;18;0;1;19;6.5;1
1942;93;24;1;0;39;0;3;24;5.5;1
2023;53;8;10;0;8;0;4;8;8.5;0
1972;48;107;0;0;51;0;1;107;6.5;0
2010;22;5;0;0;41;0;1;5;7.5;0
1998;100;154;1;0;98;1;4;154;7.5;2
1993;40;10;0;0;36;0;1;10;6.5;0
2019;40;13;1;0;26;0;1;13;7.5;0
1959;25;72;0;0;38;0;1;72;7.5;1
1917;30;50;3;0;12;0;7;50;4.5;2
2022;155;3602;32;3;105;0;10;3602;6.5;70
1993;28;8;1;0;7;0;1;8;6.5;0
1915;92;17;3;0;6;0;1;17;6.5;0
2003;50;38;0;0;37;0;1;38;7.5;0
2010;80;37;7;1;36;0;2;37;4.5;1
2001;22;27;0;0;33;0;1;27;7.5;0
1969;5;23;1;0;7;0;1;23;6.5;0
1942;107;2642;20;1;99;1;25;2641;6.5;67
1994;71;10;1;0;52;0;1;10;8.5;0
2001;44;27;2;0;74;0;1;27;5.5;0
2009;90;241;2;0;220;0;1;241;7.5;4
1965;30;42;1;0;31;0;1;42;7.5;1
2012;53;136;152;0;42;1;4;136;9.5;1
2011;19;39;1;0;23;2;4;40;6.5;0
2008;81;214;3;0;145;0;6;214;4.5;5
1909;4;79;1;0;2;0;3;79;5.5;2
1978;92;5956;31;2;144;1;29;5958;6.5;107
2012;22;14;1;0;14;0;1;14;7.5;0
1983;57;388;14;0;44;0;1;388;6.5;14
1901;13;16;0;0;2;0;1;16;7.5;0
1961;28;49;74;0;38;0;1;49;7.5;2
1989;90;6;2;0;35;1;1;6;6.5;0
1998;100;81;1;0;81;0;6;82;4.5;2
1959;92;9;1;0;28;0;2;9;4.5;0
